agents,seeds,ticks,scan_every,avg_tick_ms,p99_tick_ms,max_tick_ms,resonance_events,events_per_tick,events_per_agent_tick,scanned_agent_ticks,events_per_scanned_agent_tick
10,100,20,4,0.323,0.537,0.537,10,0.5,0.05,50,0.2
50,100,20,4,1.314,1.75,1.75,79,3.95,0.079,250,0.316
100,100,20,4,3.116,3.622,3.622,292,14.6,0.146,500,0.584
