1920 jobs 3123s
{'learner': 'P1', 'delta': 1.5, 'rho': 1.0, 'N': 200, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.014397615740311153, 'gain_mean': -0.00455, 'bias': -0.018947615740311157, 'pass': 0, 'p_lt_05': 2, 'cost_policy': 0.010513000000000002, 'cost_fixed': 0.011420000000000003}
{'learner': 'P1', 'delta': 1.5, 'rho': 1.0, 'N': 200, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.06475625785810112, 'gain_mean': -0.004350000000000001, 'bias': -0.06910625785810112, 'pass': 0, 'p_lt_05': 3, 'cost_policy': 0.010398300000000001, 'cost_fixed': 0.011420000000000003}
{'learner': 'P1', 'delta': 1.5, 'rho': 1.0, 'N': 300, 's': 0.0, 'seeds': 20, 'true_gain_mean': 9.992007221626409e-17, 'gain_mean': -0.004033333333333333, 'bias': -0.004033333333333433, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.011675400000000004, 'cost_fixed': 0.011872000000000004}
{'learner': 'P1', 'delta': 1.5, 'rho': 1.0, 'N': 300, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.010528050475742717, 'gain_mean': -0.0027, 'bias': -0.013228050475742718, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.011576066666666671, 'cost_fixed': 0.011872000000000004}
{'learner': 'P1', 'delta': 1.5, 'rho': 1.0, 'N': 300, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.05763888307682889, 'gain_mean': 0.00010000000000000026, 'bias': -0.057538883076828896, 'pass': 0, 'p_lt_05': 3, 'cost_policy': 0.011314333333333338, 'cost_fixed': 0.011872000000000004}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 100, 's': 0.0, 'seeds': 20, 'true_gain_mean': 2.7755575615628914e-17, 'gain_mean': -0.009000000000000001, 'bias': -0.009000000000000029, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.009955000000000002, 'cost_fixed': 0.011384000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 100, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.033017307715619046, 'gain_mean': -0.010400000000000001, 'bias': -0.04341730771561906, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.0103224, 'cost_fixed': 0.011384000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 100, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.11992566242671512, 'gain_mean': -0.004200000000000001, 'bias': -0.12412566242671512, 'pass': 1, 'p_lt_05': 1, 'cost_policy': 0.010466000000000003, 'cost_fixed': 0.011384000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 150, 's': 0.0, 'seeds': 20, 'true_gain_mean': -1.6653345369377347e-17, 'gain_mean': -0.011666666666666669, 'bias': -0.011666666666666652, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.009903866666666669, 'cost_fixed': 0.011204000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 150, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.044779414792977965, 'gain_mean': -0.014133333333333331, 'bias': -0.058912748126311296, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.009836533333333338, 'cost_fixed': 0.011204000000000002}
